Dataset,feature_name,Threshold Method,OoD Val Fold,InD Val Fold,OoD Test Fold,InD Test Fold,Shift,Shift Intensity,tpr,tnr,ba
CCT,Softmax,val_optimal,OoD Val,ind_val,jpeg_0.275,ind_val,jpeg,0.275,0.1346153846153846,0.8479567307692308,0.4912860576923077
CCT,Softmax,val_optimal,OoD Val,ind_val,jpeg_0.30000000000000004,ind_val,jpeg,0.30000000000000004,0.13581730769230768,0.8479567307692308,0.4918870192307693
CCT,Softmax,val_optimal,OoD Val,ind_val,jpeg_0.325,ind_val,jpeg,0.325,0.1328125,0.8479567307692308,0.4903846153846154
CCT,Softmax,val_optimal,OoD Val,ind_val,jpeg_0.35000000000000003,ind_val,jpeg,0.35000000000000003,0.1328125,0.8479567307692308,0.4903846153846154
CCT,Softmax,val_optimal,OoD Val,ind_val,jpeg_0.375,ind_val,jpeg,0.375,0.13521634615384615,0.8479567307692308,0.4915865384615385
CCT,Softmax,val_optimal,OoD Val,ind_val,jpeg_0.4,ind_val,jpeg,0.4,0.13341346153846154,0.8479567307692308,0.4906850961538462
CCT,Softmax,val_optimal,OoD Val,ind_val,jpeg_0.42500000000000004,ind_val,jpeg,0.42500000000000004,0.13701923076923078,0.8479567307692308,0.49248798076923084
CCT,Softmax,val_optimal,OoD Val,ind_val,jpeg_0.45,ind_val,jpeg,0.45,0.13581730769230768,0.8479567307692308,0.4918870192307693
CCT,Softmax,val_optimal,OoD Val,ind_val,jpeg_0.47500000000000003,ind_val,jpeg,0.47500000000000003,0.13521634615384615,0.8479567307692308,0.4915865384615385
CCT,Softmax,val_optimal,OoD Val,ind_val,jpeg_0.5,ind_val,jpeg,0.5,0.13521634615384615,0.8479567307692308,0.4915865384615385
CCT,Softmax,val_optimal,OoD Val,ind_val,fog_0.025,ind_val,fog,0.025,0.4519230769230769,0.8479567307692308,0.6499399038461539
CCT,Softmax,val_optimal,OoD Val,ind_val,fog_0.05,ind_val,fog,0.05,0.45072115384615385,0.8479567307692308,0.6493389423076923
CCT,Softmax,val_optimal,OoD Val,ind_val,fog_0.07500000000000001,ind_val,fog,0.07500000000000001,0.4753605769230769,0.8479567307692308,0.6616586538461539
CCT,Softmax,val_optimal,OoD Val,ind_val,fog_0.1,ind_val,fog,0.1,0.4411057692307692,0.8479567307692308,0.64453125
CCT,Softmax,val_optimal,OoD Val,ind_val,fog_0.125,ind_val,fog,0.125,0.45853365384615385,0.8479567307692308,0.6532451923076923
CCT,Softmax,val_optimal,OoD Val,ind_val,fog_0.15000000000000002,ind_val,fog,0.15000000000000002,0.44771634615384615,0.8479567307692308,0.6478365384615385
CCT,Softmax,val_optimal,OoD Val,ind_val,fog_0.17500000000000002,ind_val,fog,0.17500000000000002,0.45913461538461536,0.8479567307692308,0.6535456730769231
CCT,Softmax,val_optimal,OoD Val,ind_val,fog_0.2,ind_val,fog,0.2,0.4621394230769231,0.8479567307692308,0.655048076923077
CCT,Softmax,val_optimal,OoD Val,ind_val,fog_0.225,ind_val,fog,0.225,0.45132211538461536,0.8479567307692308,0.6496394230769231
CCT,Softmax,val_optimal,OoD Val,ind_val,fog_0.25,ind_val,fog,0.25,0.4332932692307692,0.8479567307692308,0.640625
CCT,Softmax,val_optimal,OoD Val,ind_val,fog_0.275,ind_val,fog,0.275,0.45252403846153844,0.8479567307692308,0.6502403846153846
CCT,Softmax,val_optimal,OoD Val,ind_val,fog_0.30000000000000004,ind_val,fog,0.30000000000000004,0.4423076923076923,0.8479567307692308,0.6451322115384616
CCT,Softmax,val_optimal,OoD Val,ind_val,fog_0.325,ind_val,fog,0.325,0.4453125,0.8479567307692308,0.6466346153846154
CCT,Softmax,val_optimal,OoD Val,ind_val,fog_0.35000000000000003,ind_val,fog,0.35000000000000003,0.43209134615384615,0.8479567307692308,0.6400240384615385
CCT,Softmax,val_optimal,OoD Val,ind_val,fog_0.375,ind_val,fog,0.375,0.46033653846153844,0.8479567307692308,0.6541466346153846
CCT,Softmax,val_optimal,OoD Val,ind_val,fog_0.4,ind_val,fog,0.4,0.45252403846153844,0.8479567307692308,0.6502403846153846
CCT,Softmax,val_optimal,OoD Val,ind_val,fog_0.42500000000000004,ind_val,fog,0.42500000000000004,0.44471153846153844,0.8479567307692308,0.6463341346153846
CCT,Softmax,val_optimal,OoD Val,ind_val,fog_0.45,ind_val,fog,0.45,0.47836538461538464,0.8479567307692308,0.6631610576923077
CCT,Softmax,val_optimal,OoD Val,ind_val,fog_0.47500000000000003,ind_val,fog,0.47500000000000003,0.43028846153846156,0.8479567307692308,0.6391225961538463
CCT,Softmax,val_optimal,OoD Val,ind_val,fog_0.5,ind_val,fog,0.5,0.4567307692307692,0.8479567307692308,0.65234375
CCT,Softmax,val_optimal,OoD Val,ind_val,smear_0.025,ind_val,smear,0.025,0.1424278846153846,0.8479567307692308,0.4951923076923077
CCT,Softmax,val_optimal,OoD Val,ind_val,smear_0.05,ind_val,smear,0.05,0.14182692307692307,0.8479567307692308,0.494891826923077
CCT,Softmax,val_optimal,OoD Val,ind_val,smear_0.07500000000000001,ind_val,smear,0.07500000000000001,0.13701923076923078,0.8479567307692308,0.49248798076923084
CCT,Softmax,val_optimal,OoD Val,ind_val,smear_0.1,ind_val,smear,0.1,0.1466346153846154,0.8479567307692308,0.49729567307692313
CCT,Softmax,val_optimal,OoD Val,ind_val,smear_0.125,ind_val,smear,0.125,0.14783653846153846,0.8479567307692308,0.49789663461538464
