Dataset,Method,Model,feature_name,shift,observed_gap,predicted_gap,residual,abs_error
OfficeHome,Ours,resnet,Softmax,Fog,-0.0439814814814814,-0.2030405372849253,-0.1590590558034439,0.1590590558034439
OfficeHome,Ours,resnet,Softmax,Fog,-0.048611111111111,-0.2030405372849253,-0.1544294261738143,0.1544294261738143
OfficeHome,Ours,resnet,Softmax,Fog,-0.0416666666666666,-0.2030405372849253,-0.1613738706182587,0.1613738706182587
OfficeHome,Ours,resnet,Softmax,Fog,-0.0439814814814814,-0.2030405372849253,-0.1590590558034439,0.1590590558034439
OfficeHome,Ours,resnet,Softmax,Fog,-0.0393518518518518,-0.2030405372849253,-0.1636886854330735,0.1636886854330735
OfficeHome,Ours,resnet,Softmax,Fog,-0.0393518518518518,-0.2030405372849253,-0.1636886854330735,0.1636886854330735
OfficeHome,Ours,resnet,Softmax,Fog,-0.0393518518518518,-0.2030405372849253,-0.1636886854330735,0.1636886854330735
OfficeHome,Ours,resnet,Softmax,Fog,-0.0462962962962962,-0.2030405372849253,-0.1567442409886291,0.1567442409886291
OfficeHome,Ours,resnet,Softmax,Fog,-0.0439814814814814,-0.2030405372849253,-0.1590590558034439,0.1590590558034439
OfficeHome,Ours,resnet,Softmax,Fog,-0.1157407407407407,-0.2030405372849253,-0.0872997965441846,0.0872997965441846
OfficeHome,Ours,resnet,Softmax,Fog,-0.111111111111111,-0.2030405372849253,-0.0919294261738143,0.0919294261738143
OfficeHome,Ours,resnet,Softmax,Fog,-0.1203703703703703,-0.2030405372849253,-0.082670166914555,0.082670166914555
OfficeHome,Ours,resnet,Softmax,Fog,-0.1157407407407407,-0.2030405372849253,-0.0872997965441846,0.0872997965441846
OfficeHome,Ours,resnet,Softmax,Fog,-0.1134259259259258,-0.2030405372849253,-0.0896146113589995,0.0896146113589995
OfficeHome,Ours,resnet,Softmax,Fog,-0.1157407407407407,-0.2030405372849253,-0.0872997965441846,0.0872997965441846
OfficeHome,Ours,resnet,Softmax,Fog,-0.1203703703703703,-0.2030405372849253,-0.082670166914555,0.082670166914555
OfficeHome,Ours,resnet,Softmax,Fog,-0.1134259259259258,-0.2030405372849253,-0.0896146113589995,0.0896146113589995
OfficeHome,Ours,resnet,Softmax,Fog,-0.1180555555555555,-0.2030405372849253,-0.0849849817293698,0.0849849817293698
OfficeHome,Ours,resnet,Softmax,Hue,-0.0439814814814814,-0.0943008679316817,-0.0503193864502003,0.0503193864502003
OfficeHome,Ours,resnet,Softmax,Hue,-0.0439814814814814,-0.0943008679316817,-0.0503193864502003,0.0503193864502003
OfficeHome,Ours,resnet,Softmax,Hue,-0.0601851851851851,-0.0943008679316817,-0.0341156827464966,0.0341156827464966
OfficeHome,Ours,resnet,Softmax,Hue,-0.0624999999999999,-0.0943008679316817,-0.0318008679316818,0.0318008679316818
OfficeHome,Ours,resnet,Softmax,Hue,-0.0578703703703703,-0.0943008679316817,-0.0364304975613114,0.0364304975613114
OfficeHome,Ours,resnet,Softmax,Hue,-0.0856481481481481,-0.0943008679316817,-0.008652719783533602,0.008652719783533602
OfficeHome,Ours,resnet,Softmax,Hue,-0.099537037037037,-0.0943008679316817,0.005236169105355293,0.005236169105355293
OfficeHome,Ours,resnet,Softmax,Hue,-0.1226851851851851,-0.0943008679316817,0.028384317253503405,0.028384317253503405
OfficeHome,Ours,resnet,Softmax,Hue,-0.1388888888888888,-0.0943008679316817,0.04458802095720711,0.04458802095720711
OfficeHome,Ours,resnet,Softmax,Hue,-0.1481481481481481,-0.0943008679316817,0.05384728021646641,0.05384728021646641
OfficeHome,Ours,resnet,Softmax,Hue,-0.1527777777777778,-0.0943008679316817,0.05847690984609609,0.05847690984609609
OfficeHome,Ours,resnet,Softmax,Hue,-0.1574074074074074,-0.0943008679316817,0.06310653947572571,0.06310653947572571
OfficeHome,Ours,resnet,Softmax,Hue,-0.1666666666666666,-0.0943008679316817,0.0723657987349849,0.0723657987349849
OfficeHome,Ours,resnet,Softmax,Hue,-0.1712962962962962,-0.0943008679316817,0.0769954283646145,0.0769954283646145
